year,country_iso3,country_name,event,category,economic_impact
1900,PRT,Portugal,Economy overwhelmingly agrarian; illiteracy above 70%; one of poorest Western European countries,Economy,Stagnation
1902,PRT,Portugal,Second state bankruptcy (first was 1892); public finances collapse,Financial,Debt crisis
1908,PRT,Portugal,Assassination of King Carlos I and Crown Prince Luís Filipe (1 February),Political,Regime crisis
1910,PRT,Portugal,Proclamation of the Republic (5 October); end of the monarchy; separation of Church and State,Political,Regime change
1911,PRT,Portugal,Creation of University of Lisbon and University of Porto; education expansion,Social,Education reform
1916,PRT,Portugal,Portugal enters World War I on the Allied side (March),War,Military expenditure; inflation
1917,PRT,Portugal,Battle of La Lys; devastating losses for Portuguese Expeditionary Corps (April),War,Human cost
1918,PRT,Portugal,End of WWI; Spanish flu pandemic devastates Portugal,War/Health,Population decline
1920,PRT,Portugal,Extreme political instability; rotating governments; chronic inflation and fiscal deficits,Political,Economic chaos
1924,PRT,Portugal,Banco de Portugal scandal; fraudulent banknote printing by Alves dos Reis,Financial,Banking crisis
1926,PRT,Portugal,Military coup (28 May); end of the First Republic; beginning of military dictatorship,Political,Regime change
1928,PRT,Portugal,Salazar appointed Minister of Finance; imposes fiscal austerity and balanced budgets,Economy,Fiscal stabilization
1931,PRT,Portugal,Condicionamento Industrial introduced; state licensing controls all industrial investment,Economy,State-controlled industry
1933,PRT,Portugal,Constitution of the Estado Novo; corporatist authoritarian regime formally established,Political,Regime formalized
1935,PRT,Portugal,Lei de Reconstituição Económica; 15-year public investment plan; quadruples annual public investment,Economy,Infrastructure investment plan
1938,PRT,Portugal,Lisbon airport (Portela) construction initiated under Minister Duarte Pacheco,Infrastructure,Aviation
1940,PRT,Portugal,Exposition of the Portuguese World (Belém); double centenary celebrations; regime propaganda peak,Political,Symbolic investment
1941,PRT,Portugal,Wolfram (tungsten) exports surge; Portugal profits from WWII neutrality selling to both sides,Economy,Wartime windfall
1943,PRT,Portugal,Azores Agreement; UK obtains military base rights in the Azores,Geopolitical,Strategic alignment with Allies
1944,PRT,Portugal,Lei da Electrificação do País; national electrification law; hydroelectric development authorized,Infrastructure,Energy policy
1945,PRT,Portugal,First motorway segment; A5 Lisbon to Estádio Nacional; Plano Rodoviário Nacional approved,Infrastructure,Road modernization
1946,PRT,Portugal,Hidroeléctrica do Zêzere and Hidroeléctrica do Cávado created; state hydroelectric companies,Infrastructure,Energy development
1949,PRT,Portugal,Portugal is a founding member of NATO (4 April); Marshall Plan aid received (1949-1950),Geopolitical,Western alignment
1951,PRT,Portugal,Barragem de Castelo de Bode inaugurated (21 January); first major hydroelectric dam; powers Lisbon,Infrastructure,Electrification milestone
1952,PRT,Portugal,Refinaria de Cabo Ruivo (SACOR) begins operations; first oil refinery in Portugal,Industry,Petroleum refining
1953,PRT,Portugal,I Plano de Fomento (1953-1958); first systematic development plan; energy transport and industry,Economy,Planned industrialization
1954,PRT,Portugal,India annexes Dadra and Nagar Haveli; first loss of Portuguese India,Colonial,Territorial loss
1954,PRT,Portugal,Siderurgia Nacional founded (23 December); integrated steelworks project at Seixal,Industry,Heavy industry
1954,PRT,Portugal,Barragem do Cabril inaugurated; Zêzere hydroelectric cascade continues,Infrastructure,Energy expansion
1955,PRT,Portugal,Barragem da Bouçã inaugurated; Zêzere hydroelectric cascade complete,Infrastructure,Energy expansion
1958,PRT,Portugal,Barragem de Picote inaugurated; Douro international hydroelectric development,Infrastructure,Energy expansion
1958,PRT,Portugal,Humberto Delgado presidential candidacy challenges regime; election manipulated by Estado Novo,Political,Opposition challenge
1959,PRT,Portugal,II Plano de Fomento (1959-1964); accelerated industrialization; petrochemicals steel and shipbuilding,Economy,Industrial acceleration
1959,PRT,Portugal,Lisbon Metro inaugurated (29 December); Y-shaped line with 11 stations,Infrastructure,Urban transport milestone
1960,PRT,Portugal,Portugal is a founding member of EFTA (4 January Stockholm Convention); economic opening to Europe,Integration,Trade liberalization
1960,PRT,Portugal,Industrial sector surpasses agriculture in contribution to GDP for the first time,Economy,Structural transformation
