country_iso3,country_name,indicator_code,indicator_name,year,value
BEL,Belgium,gdp,GDP (2011 international $),1900,39957893000.0
BEL,Belgium,gdp,GDP (2011 international $),1901,40316328000.0
BEL,Belgium,gdp,GDP (2011 international $),1902,41141880000.0
BEL,Belgium,gdp,GDP (2011 international $),1903,42072961000.0
BEL,Belgium,gdp,GDP (2011 international $),1904,43160826000.0
BEL,Belgium,gdp,GDP (2011 international $),1905,44398900000.0
BEL,Belgium,gdp,GDP (2011 international $),1906,45318952000.0
BEL,Belgium,gdp,GDP (2011 international $),1907,45994584000.0
BEL,Belgium,gdp,GDP (2011 international $),1908,46459559000.0
BEL,Belgium,gdp,GDP (2011 international $),1909,47335740000.0
BEL,Belgium,gdp,GDP (2011 international $),1910,48572044000.0
BEL,Belgium,gdp,GDP (2011 international $),1911,49702404000.0
BEL,Belgium,gdp,GDP (2011 international $),1912,50883360000.0
BEL,Belgium,gdp,GDP (2011 international $),1913,51569182000.0
BEL,Belgium,gdp,GDP (2011 international $),1914,48291919000.0
BEL,Belgium,gdp,GDP (2011 international $),1915,47717850000.0
BEL,Belgium,gdp,GDP (2011 international $),1916,50476286000.0
BEL,Belgium,gdp,GDP (2011 international $),1917,43351961000.0
BEL,Belgium,gdp,GDP (2011 international $),1918,34929600000.0
BEL,Belgium,gdp,GDP (2011 international $),1919,41206456000.0
BEL,Belgium,gdp,GDP (2011 international $),1920,47690880000.0
BEL,Belgium,gdp,GDP (2011 international $),1921,48513360000.0
BEL,Belgium,gdp,GDP (2011 international $),1922,53254414000.0
BEL,Belgium,gdp,GDP (2011 international $),1923,55170510000.0
BEL,Belgium,gdp,GDP (2011 international $),1924,56977851000.0
BEL,Belgium,gdp,GDP (2011 international $),1925,57860202000.0
BEL,Belgium,gdp,GDP (2011 international $),1926,59818344000.0
BEL,Belgium,gdp,GDP (2011 international $),1927,62022688000.0
BEL,Belgium,gdp,GDP (2011 international $),1928,65265888000.0
BEL,Belgium,gdp,GDP (2011 international $),1929,64705792000.0
BEL,Belgium,gdp,GDP (2011 international $),1930,64091136000.0
BEL,Belgium,gdp,GDP (2011 international $),1931,62952122000.0
BEL,Belgium,gdp,GDP (2011 international $),1932,60109798000.0
BEL,Belgium,gdp,GDP (2011 international $),1933,61411491000.0
BEL,Belgium,gdp,GDP (2011 international $),1934,60899202000.0
BEL,Belgium,gdp,GDP (2011 international $),1935,64654688000.0
BEL,Belgium,gdp,GDP (2011 international $),1936,65114765000.0
BEL,Belgium,gdp,GDP (2011 international $),1937,66000168000.0
BEL,Belgium,gdp,GDP (2011 international $),1938,64496548000.0
BEL,Belgium,gdp,GDP (2011 international $),1939,68889928000.0
BEL,Belgium,gdp,GDP (2011 international $),1940,60692112000.0
BEL,Belgium,gdp,GDP (2011 international $),1941,57493372000.0
BEL,Belgium,gdp,GDP (2011 international $),1942,52541637000.0
BEL,Belgium,gdp,GDP (2011 international $),1943,51331176000.0
BEL,Belgium,gdp,GDP (2011 international $),1944,54339214000.0
BEL,Belgium,gdp,GDP (2011 international $),1945,57597473000.0
BEL,Belgium,gdp,GDP (2011 international $),1946,61003797000.0
BEL,Belgium,gdp,GDP (2011 international $),1947,64650950000.0
BEL,Belgium,gdp,GDP (2011 international $),1948,68524456000.0
BEL,Belgium,gdp,GDP (2011 international $),1949,71306692000.0
BEL,Belgium,gdp,GDP (2011 international $),1950,75214347738.0
BEL,Belgium,gdp,GDP (2011 international $),1951,79502691784.0
BEL,Belgium,gdp,GDP (2011 international $),1952,78879211645.0
BEL,Belgium,gdp,GDP (2011 international $),1953,81405994636.0
BEL,Belgium,gdp,GDP (2011 international $),1954,84754240673.0
BEL,Belgium,gdp,GDP (2011 international $),1955,88773430839.0
BEL,Belgium,gdp,GDP (2011 international $),1956,91353398465.0
BEL,Belgium,gdp,GDP (2011 international $),1957,93064269580.0
BEL,Belgium,gdp,GDP (2011 international $),1958,92953195796.0
BEL,Belgium,gdp,GDP (2011 international $),1959,95889572455.0
BEL,Belgium,gdp,GDP (2011 international $),1960,101044316864.0
BEL,Belgium,gdp,GDP (2011 international $),1961,105965811541.0
BEL,Belgium,gdp,GDP (2011 international $),1962,111422805521.0
BEL,Belgium,gdp,GDP (2011 international $),1963,116335804304.0
BEL,Belgium,gdp,GDP (2011 international $),1964,124534265000.0
BEL,Belgium,gdp,GDP (2011 international $),1965,128900422970.0
BEL,Belgium,gdp,GDP (2011 international $),1966,133004611467.0
BEL,Belgium,gdp,GDP (2011 international $),1967,138196546500.0
BEL,Belgium,gdp,GDP (2011 international $),1968,143933305268.0
BEL,Belgium,gdp,GDP (2011 international $),1969,153505209418.0
BEL,Belgium,gdp,GDP (2011 international $),1970,163013745896.0
BEL,Belgium,gdp,GDP (2011 international $),1971,169133335000.0
BEL,Belgium,gdp,GDP (2011 international $),1972,178026050437.0
BEL,Belgium,gdp,GDP (2011 international $),1973,188915229177.0
BEL,Belgium,gdp,GDP (2011 international $),1974,196850469463.0
BEL,Belgium,gdp,GDP (2011 international $),1975,194240674926.0
BEL,Belgium,gdp,GDP (2011 international $),1976,205206876000.0
BEL,Belgium,gdp,GDP (2011 international $),1977,206503340893.0
BEL,Belgium,gdp,GDP (2011 international $),1978,212370672719.0
BEL,Belgium,gdp,GDP (2011 international $),1979,217343101115.0
BEL,Belgium,gdp,GDP (2011 international $),1980,227067203496.0
BEL,Belgium,gdp,GDP (2011 international $),1981,224240632890.0
BEL,Belgium,gdp,GDP (2011 international $),1982,227394760384.0
BEL,Belgium,gdp,GDP (2011 international $),1983,227376691105.0
BEL,Belgium,gdp,GDP (2011 international $),1984,233018708582.0
BEL,Belgium,gdp,GDP (2011 international $),1985,235344813262.0
