country_iso3,country_name,indicator_code,indicator_name,year,value
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1970,44.9562764917152
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1971,43.7674630949661
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1972,44.1372779894459
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1973,48.0319438554395
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1974,52.8933580553858
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1975,45.91603656753
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1976,48.5543828576666
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1977,47.5072502227347
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1978,45.761644179143
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1979,49.9224384979483
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1980,50.117280484132
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1981,54.0635220572788
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1982,58.1033118064771
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1983,60.3956265804625
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1984,64.4123516780532
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1985,62.4543274172181
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1986,57.2830498325525
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1987,55.8677630684447
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1988,59.4080832438795
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1989,63.5667489352734
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1990,61.6136909555393
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1991,60.2296548828746
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1992,58.8089303317393
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1993,56.1077411574797
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1994,58.4249593454229
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1995,60.1143717180605
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1996,61.1923909558718
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1997,64.7865810804479
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1998,64.1743450154283
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),1999,64.5630595160862
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2000,72.5473951580567
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2001,71.6119589202939
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2002,70.8312976956765
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2003,69.0365085088844
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2004,70.906277447218
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2005,74.2828289213953
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2006,76.8049970552189
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2007,78.3018047028263
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2008,80.8806199752035
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2009,68.5960770690546
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2010,75.8282898692443
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2011,80.2713643518839
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2012,80.0489721342421
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2013,78.9114134413606
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2014,79.3965205800202
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2015,77.8777392199991
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2016,79.6181317071952
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2017,83.4444050525116
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2018,83.4830567161373
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2019,82.9674275396401
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2020,79.1968705613294
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2021,89.625374866218
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2022,94.3593146395926
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2023,82.8132982978783
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2024,79.3187864838737
BEL,Belgium,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP),2025,75.4500710497086
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1970,42.7710254837046
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1971,41.8166176737447
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1972,41.0771607398334
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1973,46.1121501660273
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1974,52.3777195459097
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1975,45.6077121111552
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1976,48.2613755680507
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1977,48.1702725216395
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1978,46.5509597585309
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1979,51.6505320431123
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1980,52.9381673001875
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1981,56.157830087916
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1982,59.8220377400948
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1983,59.999935931094
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1984,63.8183833473908
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1985,61.4226586727942
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1986,55.0439747012999
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1987,54.0513368574141
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1988,57.0148633493866
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1989,61.3701837443597
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1990,59.8541601189252
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1991,58.3604828351158
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1992,56.2603571698966
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1993,52.9049958392791
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1994,54.8073406881894
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1995,56.2641961032662
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1996,58.0203848015116
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1997,60.902358975732
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1998,60.5347776108893
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),1999,60.6069310248626
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2000,69.6827399089776
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2001,67.964880914325
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2002,65.2538517924041
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2003,63.679044325004
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2004,66.0121279012141
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2005,70.2462217485879
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2006,72.7625122442923
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2007,74.1666421724765
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2008,80.2078278152436
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2009,66.5423286532355
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2010,74.3342737521831
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2011,80.494152536242
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2012,80.3343292908166
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2013,78.6622093410738
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2014,79.1750903735027
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2015,77.1909428259269
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2016,79.43956490475
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2017,83.4596731852798
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2018,84.7946361610806
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2019,82.4980513923498
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2020,77.7532507214541
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2021,87.7565373348573
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2022,96.6941034919995
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2023,83.174142438564
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2024,79.7046946650529
BEL,Belgium,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),2025,77.4677176696568
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1995,3763409961.68582
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1996,3708664495.11401
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1997,3388362652.23275
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1998,3246276950.43343
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",1999,2779331820.77221
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2000,2784691835.29412
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2001,2626344026.61418
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2002,2669449184.43138
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2003,3274483103.21568
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2004,3776736213.66796
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2005,3242472476.88716
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2006,3704016529.41176
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2007,4179546876.19609
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2008,3685124902.5
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2009,3485700750.50781
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2010,4083207333.33334
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2011,3828712118.67705
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2012,4209481604.53125
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2013,4007064936.11766
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2014,3854777875.76469
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2015,3460681657.14844
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2016,3192751338.67705
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2017,3654292669.64707
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2018,3606516977.49019
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2019,3857933055.68627
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2020,3775757677.3541
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2021,3919719661.62784
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2022,3968729707.39301
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2023,5044983161.96087
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2024,5314812815.70312
BEL,Belgium,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)",2025,5297134950.82352
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1995,1.30662347836539
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1996,1.32831141025288
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1997,1.34082101190755
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1998,1.25567547258707
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",1999,1.07623533062933
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2000,1.17600527973714
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2001,1.10935029767163
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2002,1.03313414275776
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2003,1.0294445025288
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2004,1.02291054131515
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2005,0.840639973990251
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2006,0.907269380581052
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2007,0.887523940039387
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2008,0.712338067185966
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2009,0.718679660856589
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2010,0.847918635049212
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2011,0.726239843441003
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2012,0.84457469539348
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2013,0.764565477908541
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2014,0.716518219283319
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2015,0.750617272066574
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2016,0.673190543684684
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2017,0.729532583142538
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2018,0.664625571120094
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2019,0.718789583537128
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2020,0.712818023641571
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2021,0.654899384879513
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2022,0.670989189183415
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2023,0.775221747679926
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2024,0.792093358711035
BEL,Belgium,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)",2025,0.730169514651754
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",1995,52813218390.8046
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",1996,50725472312.7036
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",1997,46496842580.0631
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",1998,46946765947.9884
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",1999,44694827428.726
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2000,41523865340.0785
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2001,40342826002.3229
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2002,43394458524.9413
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2003,51530124780.745
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2004,59406411226.5253
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2005,61216581533.3852
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2006,61314657349.4117
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2007,70922375577.2159
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2008,72388378038.6719
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2009,62285961744.2187
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2010,63221836973.3335
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2011,68271646876.4593
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2012,62907750135.3516
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2013,66373628692.4316
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2014,67699204317.9213
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2015,57942868346.1328
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2016,58090718123.113
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2017,62342246500.3531
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2018,66982913127.9215
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2019,66625189608.6273
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2020,63626948005.9146
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2021,64310085072.092
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2022,74080813339.1053
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2023,77919028592.5504
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2024,76787967022.8125
BEL,Belgium,NV.IND.MANF.CD,"Manufacturing, value added (current US$)",2025,81043520587.0587
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",1995,18.3362938983539
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",1996,18.1680558465722
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",1997,18.3994306151454
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",1998,18.1592339218945
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",1999,17.3070923074637
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2000,17.5359744500664
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2001,17.0405421304565
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2002,16.7945870519173
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2003,16.2002374109264
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2004,16.0899360790406
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2005,15.8709459755849
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2006,15.0185375125134
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2007,15.0603182770214
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2008,13.9927407246937
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2009,12.8420817122469
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2010,13.1286435724464
BEL,Belgium,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)",2011,12.9499394580106
